Year,Month,tmin_f,datetime
2018.0,12.0,66.58060980902778,2018-12-01
2019.0,1.0,63.39480523003472,2019-01-01
2019.0,2.0,62.5427001953125,2019-02-01
2019.0,3.0,62.90122612847222,2019-03-01
2019.0,4.0,66.69771592881945,2019-04-01
2019.0,5.0,67.42576497395834,2019-05-01
2019.0,6.0,70.048193359375,2019-06-01
2019.0,7.0,72.23701171875001,2019-07-01
2019.0,8.0,72.48031141493055,2019-08-01
2019.0,9.0,73.22618815104167,2019-09-01
2019.0,10.0,71.16668836805556,2019-10-01
2019.0,11.0,69.551171875,2019-11-01
2019.0,12.0,68.39324001736111,2019-12-01
2020.0,1.0,65.87783745659723,2020-01-01
2020.0,2.0,64.43285861545138,2020-02-01
2020.0,3.0,65.80197482638889,2020-03-01
2020.0,4.0,66.03324110243057,2020-04-01
2020.0,5.0,67.77070855034722,2020-05-01
2020.0,6.0,70.11243760850695,2020-06-01
2020.0,7.0,71.28110080295139,2020-07-01
2020.0,8.0,71.7916259765625,2020-08-01
2020.0,9.0,70.88239203559027,2020-09-01
2020.0,10.0,69.8289035373264,2020-10-01
2020.0,11.0,70.12901746961805,2020-11-01
2020.0,12.0,66.55183919270834,2020-12-01
2021.0,1.0,66.32400987413195,2021-01-01
2021.0,2.0,64.23699001736111,2021-02-01
2021.0,3.0,64.86688368055556,2021-03-01
2021.0,4.0,64.15401746961805,2021-04-01
2021.0,5.0,67.15875922309027,2021-05-01
2021.0,6.0,68.10604654947917,2021-06-01
2021.0,7.0,70.49368760850695,2021-07-01
2021.0,8.0,69.7762424045139,2021-08-01
2021.0,9.0,69.7859103732639,2021-09-01
2021.0,10.0,68.62505154079861,2021-10-01
2021.0,11.0,67.03454047309029,2021-11-01
2021.0,12.0,66.26459418402777,2021-12-01
2022.0,1.0,63.89939778645834,2022-01-01
2022.0,2.0,63.776112196180556,2022-02-01
2022.0,3.0,65.98248426649306,2022-03-01
2022.0,4.0,68.47702907986111,2022-04-01
