Year,Month,tmean_f,datetime,Temp
2015.0,4.0,75.80340169270833,2015-04-01,
2015.0,5.0,75.3616482204861,2015-05-01,
2015.0,6.0,77.76585286458334,2015-06-01,
2015.0,7.0,80.25003255208334,2015-07-01,
2015.0,8.0,81.375341796875,2015-08-01,
2015.0,9.0,80.44007161458333,2015-09-01,
2015.0,10.0,78.28566080729166,2015-10-01,
2015.0,11.0,77.73674587673611,2015-11-01,
2015.0,12.0,75.44881727430555,2015-12-01,
2016.0,1.0,72.70322808159722,2016-01-01,
2016.0,2.0,72.64781901041667,2016-02-01,
2016.0,3.0,72.72545030381944,2016-03-01,
2016.0,4.0,75.8956271701389,2016-04-01,
2016.0,5.0,76.554052734375,2016-05-01,
2016.0,6.0,77.58051757812501,2016-06-01,
2016.0,7.0,78.11920572916667,2016-07-01,
2016.0,8.0,78.67620442708333,2016-08-01,
2016.0,9.0,78.70741102430556,2016-09-01,
2016.0,10.0,77.43577473958334,2016-10-01,
2016.0,11.0,74.76666937934027,2016-11-01,
2016.0,12.0,72.40981987847222,2016-12-01,
2017.0,1.0,71.07469075520834,2017-01-01,
2017.0,2.0,70.89364691840278,2017-02-01,
2017.0,3.0,73.04537760416667,2017-03-01,
2017.0,4.0,74.56592610677083,2017-04-01,
2017.0,5.0,76.41792534722222,2017-05-01,
2017.0,6.0,78.06984592013889,2017-06-01,
2017.0,7.0,79.79849717881945,2017-07-01,
2017.0,8.0,80.65326063368056,2017-08-01,
2017.0,9.0,79.53147786458334,2017-09-01,
2017.0,10.0,77.66150716145833,2017-10-01,
2017.0,11.0,74.71341145833333,2017-11-01,
2017.0,12.0,70.74078776041667,2017-12-01,
2018.0,1.0,73.01956922743057,2018-01-01,
2018.0,2.0,72.00142686631945,2018-02-01,
2018.0,3.0,71.95598415798611,2018-03-01,
2018.0,4.0,74.24266493055555,2018-04-01,
2018.0,5.0,75.49075249565973,2018-05-01,
2018.0,6.0,78.399853515625,2018-06-01,
2018.0,7.0,79.80150282118055,2018-07-01,
2018.0,8.0,80.06889105902778,2018-08-01,
2018.0,9.0,79.14822048611111,2018-09-01,
2018.0,10.0,78.62279730902779,2018-10-01,
2018.0,11.0,76.70481228298611,2018-11-01,
2018.0,12.0,74.51813693576389,2018-12-01,
2019.0,1.0,73.14380154079862,2019-01-01,
2019.0,2.0,70.4873046875,2019-02-01,
2019.0,3.0,71.66458875868057,2019-03-01,
2019.0,4.0,75.417626953125,2019-04-01,
2019.0,5.0,76.935986328125,2019-05-01,
2019.0,6.0,79.62526041666666,2019-06-01,
2019.0,7.0,80.594482421875,2019-07-01,
2019.0,8.0,81.74143337673611,2019-08-01,
2019.0,9.0,81.96022135416666,2019-09-01,
2019.0,10.0,79.54709201388889,2019-10-01,
2019.0,11.0,77.81451822916667,2019-11-01,
2019.0,12.0,76.29913736979167,2019-12-01,
2020.0,1.0,74.46874728732638,2020-01-01,
2020.0,2.0,73.15855034722222,2020-02-01,
2020.0,3.0,73.52057020399306,2020-03-01,
2020.0,4.0,75.06955023871528,2020-04-01,
2020.0,5.0,76.68760036892361,2020-05-01,
2020.0,6.0,79.11325954861111,2020-06-01,
2020.0,7.0,79.71978624131944,2020-07-01,
2020.0,8.0,80.63999565972222,2020-08-01,
2020.0,9.0,80.6757052951389,2020-09-01,
2020.0,10.0,78.92444118923612,2020-10-01,
2020.0,11.0,77.50059407552084,2020-11-01,
2020.0,12.0,75.86981879340277,2020-12-01,
2021.0,1.0,74.95828179253472,2021-01-01,
2021.0,2.0,73.0399169921875,2021-02-01,
2021.0,3.0,73.41820746527779,2021-03-01,
2021.0,4.0,73.99985080295139,2021-04-01,
2021.0,5.0,76.51956922743055,2021-05-01,
2021.0,6.0,77.78273654513889,2021-06-01,
2021.0,7.0,79.12881401909723,2021-07-01,
2021.0,8.0,79.11484375,2021-08-01,
2021.0,9.0,78.60970052083334,2021-09-01,
2021.0,10.0,77.25548231336806,2021-10-01,
2021.0,11.0,76.33607313368056,2021-11-01,
2021.0,12.0,73.9337619357639,2021-12-01,
2022.0,1.0,73.20530327690972,2022-01-01,
2022.0,2.0,72.84666883680556,2022-02-01,
2022.0,3.0,74.28136393229167,2022-03-01,
2022.0,4.0,75.91652018229166,2022-04-01,
2022.0,5.0,76.51677517361111,2022-05-01,
2022.0,6.0,77.67118598090278,2022-06-01,
2022.0,7.0,79.36056857638889,2022-07-01,
2022.0,8.0,79.2539822048611,2022-08-01,
2022.0,9.0,79.880224609375,2022-09-01,
2022.0,10.0,78.11347656250001,2022-10-01,
2022.0,11.0,76.50992838541667,2022-11-01,
2022.0,12.0,73.81325412326389,2022-12-01,
2023.0,1.0,72.16172146267361,2023-01-01,
2023.0,2.0,73.38921169704861,2023-02-01,
2023.0,3.0,73.50881890190973,2023-03-01,
2023.0,4.0,73.57903645833333,2023-04-01,
2023.0,5.0,75.00085720486112,2023-05-01,
2023.0,6.0,76.93385416666666,2023-06-01,
2023.0,7.0,79.30444878472223,2023-07-01,
2023.0,8.0,80.17118598090278,2023-08-01,
2023.0,9.0,79.67214626736111,2023-09-01,
